trial,nodes,mode,storage,job_dir,rc,elapsed_s,stage_s,exec_s,deployment_runtime_s,validation_s,outputs,area_outputs,failures,mismatches,passed,timing_log
2,120,wdd_full_only,tmpfs,wdd_full_only_862843,0,101,46,1,47,60,15000,15000,0,0,True,/qfs/projects/datamesh/tang584/widget_evaluation/workflow_representation_experiments/Montage/agentic_runs_3trial_30gb/runs/montage30_fullsuite_3trial_20260619T182820Z/trial_2/120node/wdd_full_only_862843/timing.log
2,30,baseline,beegfs,baseline_862826,0,45,0,38,38,12,15000,15000,0,0,True,/qfs/projects/datamesh/tang584/widget_evaluation/workflow_representation_experiments/Montage/agentic_runs_3trial_30gb/runs/montage30_fullsuite_3trial_20260619T182820Z/trial_2/30node/baseline_862826/timing.log
2,30,wdd_full_dpm,beegfs,wdd_full_dpm_862830,0,342,0,87,87,254,15000,15000,0,0,True,/qfs/projects/datamesh/tang584/widget_evaluation/workflow_representation_experiments/Montage/agentic_runs_3trial_30gb/runs/montage30_fullsuite_3trial_20260619T182820Z/trial_2/30node/wdd_full_dpm_862830/timing.log
2,30,wdd_full_dpm,scratch,wdd_full_dpm_862831,0,206,88,3,91,113,15000,15000,0,0,True,/qfs/projects/datamesh/tang584/widget_evaluation/workflow_representation_experiments/Montage/agentic_runs_3trial_30gb/runs/montage30_fullsuite_3trial_20260619T182820Z/trial_2/30node/wdd_full_dpm_862831/timing.log
2,30,wdd_full_dpm,tmpfs,wdd_full_dpm_862832,0,182,38,3,41,142,15000,15000,0,0,True,/qfs/projects/datamesh/tang584/widget_evaluation/workflow_representation_experiments/Montage/agentic_runs_3trial_30gb/runs/montage30_fullsuite_3trial_20260619T182820Z/trial_2/30node/wdd_full_dpm_862832/timing.log
2,30,wdd_full_only,beegfs,wdd_full_only_862827,0,80,0,47,47,31,15000,15000,0,0,True,/qfs/projects/datamesh/tang584/widget_evaluation/workflow_representation_experiments/Montage/agentic_runs_3trial_30gb/runs/montage30_fullsuite_3trial_20260619T182820Z/trial_2/30node/wdd_full_only_862827/timing.log
2,30,wdd_full_only,scratch,wdd_full_only_862828,0,371,110,3,113,257,15000,15000,0,0,True,/qfs/projects/datamesh/tang584/widget_evaluation/workflow_representation_experiments/Montage/agentic_runs_3trial_30gb/runs/montage30_fullsuite_3trial_20260619T182820Z/trial_2/30node/wdd_full_only_862828/timing.log
2,30,wdd_full_only,tmpfs,wdd_full_only_862829,0,248,108,3,111,136,15000,15000,0,0,True,/qfs/projects/datamesh/tang584/widget_evaluation/workflow_representation_experiments/Montage/agentic_runs_3trial_30gb/runs/montage30_fullsuite_3trial_20260619T182820Z/trial_2/30node/wdd_full_only_862829/timing.log
2,60,baseline,beegfs,baseline_862833,0,84,0,78,78,7,15000,15000,0,0,True,/qfs/projects/datamesh/tang584/widget_evaluation/workflow_representation_experiments/Montage/agentic_runs_3trial_30gb/runs/montage30_fullsuite_3trial_20260619T182820Z/trial_2/60node/baseline_862833/timing.log
2,60,wdd_full_dpm,beegfs,wdd_full_dpm_862837,0,102,0,32,32,76,15000,15000,0,0,True,/qfs/projects/datamesh/tang584/widget_evaluation/workflow_representation_experiments/Montage/agentic_runs_3trial_30gb/runs/montage30_fullsuite_3trial_20260619T182820Z/trial_2/60node/wdd_full_dpm_862837/timing.log
2,60,wdd_full_dpm,scratch,wdd_full_dpm_862838,0,128,53,2,55,83,15000,15000,0,0,True,/qfs/projects/datamesh/tang584/widget_evaluation/workflow_representation_experiments/Montage/agentic_runs_3trial_30gb/runs/montage30_fullsuite_3trial_20260619T182820Z/trial_2/60node/wdd_full_dpm_862838/timing.log
2,60,wdd_full_dpm,tmpfs,wdd_full_dpm_862839,0,127,48,2,50,83,15000,15000,0,0,True,/qfs/projects/datamesh/tang584/widget_evaluation/workflow_representation_experiments/Montage/agentic_runs_3trial_30gb/runs/montage30_fullsuite_3trial_20260619T182820Z/trial_2/60node/wdd_full_dpm_862839/timing.log
2,60,wdd_full_only,beegfs,wdd_full_only_862834,0,108,0,64,64,41,15000,15000,0,0,True,/qfs/projects/datamesh/tang584/widget_evaluation/workflow_representation_experiments/Montage/agentic_runs_3trial_30gb/runs/montage30_fullsuite_3trial_20260619T182820Z/trial_2/60node/wdd_full_only_862834/timing.log
2,60,wdd_full_only,scratch,wdd_full_only_862835,0,146,58,2,60,93,15000,15000,0,0,True,/qfs/projects/datamesh/tang584/widget_evaluation/workflow_representation_experiments/Montage/agentic_runs_3trial_30gb/runs/montage30_fullsuite_3trial_20260619T182820Z/trial_2/60node/wdd_full_only_862835/timing.log
2,60,wdd_full_only,tmpfs,wdd_full_only_862836,0,52,16,2,18,35,15000,15000,0,0,True,/qfs/projects/datamesh/tang584/widget_evaluation/workflow_representation_experiments/Montage/agentic_runs_3trial_30gb/runs/montage30_fullsuite_3trial_20260619T182820Z/trial_2/60node/wdd_full_only_862836/timing.log
3,120,baseline,beegfs,baseline_862862,0,24,0,17,17,13,15000,15000,0,0,True,/qfs/projects/datamesh/tang584/widget_evaluation/workflow_representation_experiments/Montage/agentic_runs_3trial_30gb/runs/montage30_fullsuite_3trial_20260619T182820Z/trial_3/120node/baseline_862862/timing.log
3,120,wdd_full_dpm,beegfs,wdd_full_dpm_862866,0,182,0,134,134,132,15000,15000,0,0,True,/qfs/projects/datamesh/tang584/widget_evaluation/workflow_representation_experiments/Montage/agentic_runs_3trial_30gb/runs/montage30_fullsuite_3trial_20260619T182820Z/trial_3/120node/wdd_full_dpm_862866/timing.log
