trial,nodes,mode,storage,job_dir,rc,elapsed_s,stage_s,exec_s,deployment_runtime_s,validation_s,outputs,area_outputs,failures,mismatches,passed,timing_log
3,120,code_dpm,scratch,code_dpm_863113,0,23,7,1,8,12,15000,15000,0,0,True,/qfs/projects/datamesh/tang584/widget_evaluation/workflow_representation_experiments/Montage/agentic_runs_3trial_30gb/runs/montage30_dpmablation_3trial_20260619T211704Z/trial_3/120node/code_dpm_863113/timing.log
3,120,code_dpm,tmpfs,code_dpm_863114,0,17,3,1,4,7,15000,15000,0,0,True,/qfs/projects/datamesh/tang584/widget_evaluation/workflow_representation_experiments/Montage/agentic_runs_3trial_30gb/runs/montage30_dpmablation_3trial_20260619T211704Z/trial_3/120node/code_dpm_863114/timing.log
3,120,dpm_only,beegfs,dpm_only_863115,0,676,0,620,620,270,15000,15000,0,0,True,/qfs/projects/datamesh/tang584/widget_evaluation/workflow_representation_experiments/Montage/agentic_runs_3trial_30gb/runs/montage30_dpmablation_3trial_20260619T211704Z/trial_3/120node/dpm_only_863115/timing.log
3,120,dpm_only,scratch,dpm_only_863116,0,83,51,1,52,19,15000,15000,0,0,True,/qfs/projects/datamesh/tang584/widget_evaluation/workflow_representation_experiments/Montage/agentic_runs_3trial_30gb/runs/montage30_dpmablation_3trial_20260619T211704Z/trial_3/120node/dpm_only_863116/timing.log
3,120,dpm_only,tmpfs,dpm_only_863117,0,39,25,1,26,8,15000,15000,0,0,True,/qfs/projects/datamesh/tang584/widget_evaluation/workflow_representation_experiments/Montage/agentic_runs_3trial_30gb/runs/montage30_dpmablation_3trial_20260619T211704Z/trial_3/120node/dpm_only_863117/timing.log
3,30,baseline,beegfs,baseline_863097,0,188,0,182,182,61,15000,15000,0,0,True,/qfs/projects/datamesh/tang584/widget_evaluation/workflow_representation_experiments/Montage/agentic_runs_3trial_30gb/runs/montage30_dpmablation_3trial_20260619T211704Z/trial_3/30node/baseline_863097/timing.log
3,30,code_dpm,beegfs,code_dpm_863098,0,433,0,412,412,49,15000,15000,0,0,True,/qfs/projects/datamesh/tang584/widget_evaluation/workflow_representation_experiments/Montage/agentic_runs_3trial_30gb/runs/montage30_dpmablation_3trial_20260619T211704Z/trial_3/30node/code_dpm_863098/timing.log
3,30,code_dpm,scratch,code_dpm_863099,0,55,22,3,25,31,15000,15000,0,0,True,/qfs/projects/datamesh/tang584/widget_evaluation/workflow_representation_experiments/Montage/agentic_runs_3trial_30gb/runs/montage30_dpmablation_3trial_20260619T211704Z/trial_3/30node/code_dpm_863099/timing.log
3,30,code_dpm,tmpfs,code_dpm_863100,0,32,9,3,12,19,15000,15000,0,0,True,/qfs/projects/datamesh/tang584/widget_evaluation/workflow_representation_experiments/Montage/agentic_runs_3trial_30gb/runs/montage30_dpmablation_3trial_20260619T211704Z/trial_3/30node/code_dpm_863100/timing.log
3,30,dpm_only,beegfs,dpm_only_863101,0,581,0,442,442,138,15000,15000,0,0,True,/qfs/projects/datamesh/tang584/widget_evaluation/workflow_representation_experiments/Montage/agentic_runs_3trial_30gb/runs/montage30_dpmablation_3trial_20260619T211704Z/trial_3/30node/dpm_only_863101/timing.log
3,30,dpm_only,scratch,dpm_only_863102,0,87,33,3,36,50,15000,15000,0,0,True,/qfs/projects/datamesh/tang584/widget_evaluation/workflow_representation_experiments/Montage/agentic_runs_3trial_30gb/runs/montage30_dpmablation_3trial_20260619T211704Z/trial_3/30node/dpm_only_863102/timing.log
3,30,dpm_only,tmpfs,dpm_only_863103,0,68,21,3,24,42,15000,15000,0,0,True,/qfs/projects/datamesh/tang584/widget_evaluation/workflow_representation_experiments/Montage/agentic_runs_3trial_30gb/runs/montage30_dpmablation_3trial_20260619T211704Z/trial_3/30node/dpm_only_863103/timing.log
3,60,baseline,beegfs,baseline_863104,0,904,0,898,898,550,15000,15000,0,0,True,/qfs/projects/datamesh/tang584/widget_evaluation/workflow_representation_experiments/Montage/agentic_runs_3trial_30gb/runs/montage30_dpmablation_3trial_20260619T211704Z/trial_3/60node/baseline_863104/timing.log
3,60,code_dpm,beegfs,code_dpm_863105,0,80,0,59,59,22,15000,15000,0,0,True,/qfs/projects/datamesh/tang584/widget_evaluation/workflow_representation_experiments/Montage/agentic_runs_3trial_30gb/runs/montage30_dpmablation_3trial_20260619T211704Z/trial_3/60node/code_dpm_863105/timing.log
3,60,code_dpm,scratch,code_dpm_863106,0,14,3,2,5,6,15000,15000,0,0,True,/qfs/projects/datamesh/tang584/widget_evaluation/workflow_representation_experiments/Montage/agentic_runs_3trial_30gb/runs/montage30_dpmablation_3trial_20260619T211704Z/trial_3/60node/code_dpm_863106/timing.log
3,60,code_dpm,tmpfs,code_dpm_863107,0,13,2,2,4,6,15000,15000,0,0,True,/qfs/projects/datamesh/tang584/widget_evaluation/workflow_representation_experiments/Montage/agentic_runs_3trial_30gb/runs/montage30_dpmablation_3trial_20260619T211704Z/trial_3/60node/code_dpm_863107/timing.log
3,60,dpm_only,beegfs,dpm_only_863108,0,680,0,630,630,165,15000,15000,0,0,True,/qfs/projects/datamesh/tang584/widget_evaluation/workflow_representation_experiments/Montage/agentic_runs_3trial_30gb/runs/montage30_dpmablation_3trial_20260619T211704Z/trial_3/60node/dpm_only_863108/timing.log
3,60,dpm_only,scratch,dpm_only_863109,0,38,25,2,27,10,15000,15000,0,0,True,/qfs/projects/datamesh/tang584/widget_evaluation/workflow_representation_experiments/Montage/agentic_runs_3trial_30gb/runs/montage30_dpmablation_3trial_20260619T211704Z/trial_3/60node/dpm_only_863109/timing.log
3,60,dpm_only,tmpfs,dpm_only_863110,0,13,3,2,5,6,15000,15000,0,0,True,/qfs/projects/datamesh/tang584/widget_evaluation/workflow_representation_experiments/Montage/agentic_runs_3trial_30gb/runs/montage30_dpmablation_3trial_20260619T211704Z/trial_3/60node/dpm_only_863110/timing.log
